h,n_forecasts,brier_model,brier_persist,ratio_brier,mae_model,mae_persist,winner
1,23,0.007541580527702448,0.0005569467664432944,13.54093601416087,0.048974289210608514,0.01237551678309612,PERSIST
2,22,0.03729546989437001,0.001237977101941141,30.126138711201467,0.10094540578302046,0.016769968253073527,PERSIST
3,21,0.0790593524915774,0.002109049181047604,37.48577946973581,0.14717072527451108,0.0200359700520013,PERSIST
4,20,0.10754241895783742,0.0028450628928189123,37.79966313900481,0.17955987411421023,0.022456208830784266,PERSIST
5,19,0.12700064599609898,0.0033828430704738025,37.54257686517844,0.20504230980441365,0.02422914171296518,PERSIST
6,18,0.1423015498857002,0.00383441561726602,37.11166552862174,0.22743079951985815,0.025893631192256118,PERSIST
